period,n_obs,n_gauges,kge_raw,kge,kge_r_raw,kge_r,kge_beta_raw,kge_beta,kge_gamma_raw,kge_gamma,nse_raw,nse,lognse_raw,lognse,pbias_raw,pbias,d_kge,d_pbias_abs
17,614,60,0.06296754448696901,0.5003705574790082,0.5399671646053941,0.6664685576058184,0.892620782648808,0.8691615255560257,0.9467779440770089,1.0091593258046303,-2.0059262795139556,0.03917566696806396,-2.0010907021957696,-0.09330449812666286,-10.737921735119206,-13.083847444397431,0.43740301299203915,-2.345925709278225
18,616,60,0.08049484144556718,0.5252467966724284,0.610708070275106,0.7207992977994022,0.9962034837682989,0.8808950913765258,0.9560456491370728,0.993023212598698,-1.7916752761028452,0.14964223805782328,-1.701020630691471,0.1250478312412538,-0.37965162317009893,-11.910490862347427,0.4447519552268612,-11.530839239177327
19,616,60,0.06695363246915598,0.4355593088335203,0.6846228177340818,0.6706579534372096,1.0900166919109915,0.9464335540247288,1.126576228699065,0.9406231306833132,-1.74987628524154,0.11765216352446162,-2.1793528240133475,0.07910706181570532,9.001669191099145,-5.356644597527118,0.3686056763643643,3.6450245935720273
20,642,60,0.19026274499153728,0.4328254236317436,0.7208041883738114,0.6784276088379605,1.0474470626577317,0.9403632494889018,1.031696476534671,0.9505227977545034,-1.452631948885761,0.22314019708297544,-2.1999127394370035,0.17787656045399947,4.744706265773177,-5.963675051109819,0.2425626786402063,-1.2189687853366422
21,645,60,0.13586728773345635,0.4210918954128578,0.6120990284383847,0.597942507175873,1.0067950326744772,0.9275896348259354,1.1741867254498126,0.9072602068614608,-2.3079481932129156,-0.1535304408797732,-2.8171010086509654,-0.10225232560001218,0.6795032674477179,-7.241036517406458,0.28522460767940144,-6.561533249958741
22,652,61,0.06976271170708814,0.34281640158208526,0.645403489202363,0.5572729115381636,0.9851923294942324,0.8972578858503947,1.1217873073047122,0.8772070857712807,-2.189457505127303,-0.20348352132000191,-3.596574317348491,-0.1529120180055088,-1.4807670505767558,-10.274211414960533,0.2730536898749971,-8.793444364383777
23,652,61,-0.013491730919449552,0.3114840220432904,0.5771025144510399,0.5128677941443587,0.9674699718026757,0.9028656395823188,1.1241081126409413,0.8396736930249878,-2.6926432473715898,-0.28445609054677856,-3.5758993433073023,-0.2514455168898373,-3.253002819732426,-9.713436041768109,0.32497575296273995,-6.460433222035682
24,651,61,-0.041328883395390204,0.4318988553337568,0.5348604899076219,0.5609488706559425,0.863624084717853,0.90649469613693,1.1079728807114073,0.7216747129816377,-2.693143548802126,-0.24249364387552919,-4.225929105703506,-0.2999499407964328,-13.63759152821469,-9.350530386307,0.47322773872914703,4.2870611419076905
25,659,61,-0.025674366736533116,0.35772459016940383,0.5318727519212303,0.5404439395637748,0.9009662741108945,0.8650327493114696,0.9916773760205917,0.7073539273832706,-2.4544397729292275,-0.20116439618250692,-3.193328200560603,-0.19658814212132047,-9.903372588910551,-13.496725068853037,0.38339895690593695,-3.593352479942485
26,654,61,-0.007884612169230643,0.3151568794588121,0.5001137097205904,0.497293425273354,0.9927166499693623,0.8578562828776929,1.0553102190449204,0.6976617605143431,-2.67645928375815,-0.2400007559682289,-3.4518129847231984,-0.2684143584235883,-0.7283350030637934,-14.214371712230728,0.32304149162804274,-13.486036709166934
27,665,61,0.03984934647867977,0.28302125801139966,0.5146394608466651,0.4620480230720836,1.0985937476158143,0.8664278888177189,1.1497689186266813,0.7004375262934869,-3.2882463887694753,-0.22720399625989085,-5.956959159308732,-0.31279816895079793,9.859374761581421,-13.35721111822811,0.2431719115327199,-3.4978363566466886
28,656,59,-0.07060979308574422,0.25482700620920096,0.3935912355455313,0.44840739543066377,1.0809818385513428,0.8831994129824362,1.1430385663648601,0.6637647974456766,-3.702506997097821,-0.414112097634288,-5.748586114060828,-0.40097904918484173,8.09818385513426,-11.680058701756366,0.3254367992949452,-3.581874846622105
29,653,60,-0.07587864725462024,0.22475320927133285,0.3050374173498147,0.41874257769654377,0.9733891641124888,0.8896482587739702,1.1860258838983972,0.732960056338412,-4.096009846601185,-0.4511568762659349,-6.5844089612371866,-0.45732721532253784,-2.6610835887511293,-11.035174122602978,0.3006318565259531,-8.374090533851849
30,657,61,-0.1351955986080028,0.2075643867994369,0.25868829915595304,0.322239421357027,0.8683221228345632,0.8838640203377697,1.1207823231030019,0.7514147289643135,-3.940383931221586,-0.439098982900457,-5.634686416916552,-0.47747109204267124,-13.167787716543687,-11.613597966223017,0.3427599854074397,1.5541897503206705
31,657,61,-0.22162538544771127,0.2359029342199741,0.3149635225437092,0.37599616156219146,0.7589826126983087,0.8873141458866133,1.161164759491409,0.7085165288839489,-4.702485779336731,-0.28435701887999976,-6.038271642227729,-0.29338923942443484,-24.10173873016913,-11.268585411338675,0.45752831966768537,12.833153318830457
32,655,60,-0.0967756126612821,0.2444017439127607,0.2800219593556781,0.3794749792200269,0.7375383930299297,0.9125028060076347,1.1547833093256354,0.6741308194360615,-5.988565952489067,-0.2231709146372277,-8.499875986718116,-0.2509464634396694,-26.246160697007028,-8.749719399236533,0.3411773565740428,17.496441297770495
33,685,64,-0.09662274960741246,0.14569678541025421,0.2519098483268014,0.36379035734336107,0.6458696026040116,0.9295602595696204,1.1057057075379226,0.697061724306011,-4.66263636320611,-0.3334482132567612,-10.437895445906271,-0.316627607401903,-35.41303973959886,-7.043974043037957,0.24231953501766668,28.369065696560902
34,687,64,-0.1463506807023418,0.1704168937528347,0.21093058694092004,0.3977445423274236,0.61033360241661,0.9114860310450553,1.1074955589906068,0.6804211877594615,-6.162356018524341,-0.4922478556324914,-11.765842892770461,-0.5911606373715155,-38.966639758339,-8.851396895494473,0.3167675744551765,30.115242862844525
35,663,63,-0.28437480505682755,0.14080591619284022,0.20824937538515498,0.3095853912656934,0.5719206113580129,0.9185681672822138,1.1289705588274845,0.6101638758913219,-6.798436882966508,-0.41255312994742677,-14.04860312816101,-0.35191240907715593,-42.80793886419872,-8.143183271778605,0.42518072124966777,34.664755592420114
36,664,63,-0.2579317869435085,0.1010986674862312,0.205662461385906,0.274289918068841,0.6153274125796513,0.9323325097121661,0.9752191737926984,0.5780437973798502,-6.500066892945963,-0.6024179561697394,-14.063052659716812,-0.47623502728585176,-38.46725874203488,-6.766749028783379,0.3590304544297397,31.7005097132515
